name,height,reach,stance,dob,url,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,num_fights
Nassourdine Imavov,"6' 3""","75""",Orthodox,01-Mar-95,http://ufcstats.com/fighter-details/881bf86d4cba8578,4.58,55,3.33,59,0.98,36,74,1.3,0
Jared Cannonier,"5' 11""","77""",Switch,16-Mar-84,http://ufcstats.com/fighter-details/13a0275fa13c4d26,4.62,52,4.19,58,0.47,46,61,0,0
Dominick Reyes,"6' 4""","77""",Southpaw,26-Dec-89,http://ufcstats.com/fighter-details/2e19380f34871c6a,4.87,50,3.75,48,0.35,28,80,0.3,0
Dustin Jacoby,"6' 3""","76""",Orthodox,04-Apr-88,http://ufcstats.com/fighter-details/e4277e87a789d687,5.5,47,4.14,57,0.36,25,60,0,0
Raul Rosas Jr.,"5' 9""","67""",Switch,08-Oct-04,http://ufcstats.com/fighter-details/fe2babf95de24fb1,1.12,43,1.41,47,4.39,38,0,1.8,0
Ricky Turcios,"5' 9""","71""",Orthodox,05-Jun-93,http://ufcstats.com/fighter-details/cd3d7e37ff2d679c,4.63,37,3.34,55,0.89,25,45,0.5,0
Brunno Ferreira,"5' 10""","72""",Orthodox,04-Nov-92,http://ufcstats.com/fighter-details/1e719d4b676dc19a,4.99,54,4.04,50,0.89,16,60,0,0
Dustin Stoltzfus,"6' 0""","75""",Orthodox,15-Nov-91,http://ufcstats.com/fighter-details/71505842fb6455c3,3.51,44,3.4,47,2.45,41,46,1,0
Zach Reese,"6' 4""","77""",Switch,24-Mar-94,http://ufcstats.com/fighter-details/23dec7c47cb418f8,5.32,66,6.21,27,0,0,0,8.9,0
Julian Marquez,"6' 2""","72""",Orthodox,08-May-90,http://ufcstats.com/fighter-details/d0e1b42d41dab603,4.85,45,5.06,50,0,0,53,2.6,0
Punahele Soriano,"5' 11""","72""",Southpaw,22-Nov-92,http://ufcstats.com/fighter-details/64facb6cc564262d,4.89,53,3.88,48,1.48,56,37,0,0
Miguel Baeza,"6' 2""","74""",Orthodox,23-Aug-92,http://ufcstats.com/fighter-details/82d4c957649faf9b,4.09,49,5.92,46,0.36,22,54,2,0
Ludovit Klein,"5' 7""","72""",Southpaw,22-Feb-95,http://ufcstats.com/fighter-details/5b86d491d63890c5,3.93,55,3.45,53,1.66,50,90,0,0
Thiago Moises,"5' 9""","70""",Orthodox,23-Mar-95,http://ufcstats.com/fighter-details/d945aae53e3e54e6,2.39,40,4.14,54,1.47,35,55,1.3,0
Carlos Prates,"6' 1""","78""",Switch,17-Aug-93,http://ufcstats.com/fighter-details/7ee0fd831c0fe7c3,4.09,52,5.23,39,0,0,80,0,0
Charles Radtke,"5' 9""","72""",Orthodox,09-Jul-90,http://ufcstats.com/fighter-details/feedf3053472fe56,3.22,52,3.05,55,0.61,12,100,0,0
Brad Katona,"5' 6""","64""",Orthodox,19-Dec-91,http://ufcstats.com/fighter-details/7b433309b0fd12aa,4.69,51,4.55,49,1.71,33,52,0,0
Jesse Butler,"5' 10""","73""",Orthodox,24-May-92,http://ufcstats.com/fighter-details/a75a48bfe776b2c2,2.02,34,4.62,39,0,0,0,0,0
Montana De La Rosa,"5' 7""","68""",Orthodox,14-Feb-95,http://ufcstats.com/fighter-details/80d8aed0ca9b00f3,2.9,37,3.39,45,1.85,33,68,0.8,0
Andrea Lee,"5' 6""","69""",Orthodox,11-Feb-89,http://ufcstats.com/fighter-details/05fa626cb33d15b8,4.71,46,3.83,62,1.7,55,54,0.6,0
Daniel Marcos,"5' 7""","69""",Orthodox,07-Mar-93,http://ufcstats.com/fighter-details/850266b3dc4e506e,5.94,52,4,63,0.25,50,87,0,0
John Castaneda,"5' 6""","71""",Switch,18-Dec-91,http://ufcstats.com/fighter-details/5fa2974cbd18e05c,4.67,50,5.22,54,1.79,35,71,0.1,0
Denise Gomes,"5' 2""","63""",Orthodox,30-Dec-99,http://ufcstats.com/fighter-details/cffb87059e645bd1,4.48,49,3.12,50,0.88,30,66,0.9,0
Eduarda Moura,"5' 6""","66""",Orthodox,28-Feb-94,http://ufcstats.com/fighter-details/de594b35c45c2e9a,3.09,57,2.1,51,5.15,30,100,0.6,0
Taylor Lapilus,"5' 6""","73""",Southpaw,08-Apr-92,http://ufcstats.com/fighter-details/8b1ed83b02303075,4.33,48,2.61,60,0.31,40,78,0.3,0
Cody Stamann,"5' 6""","64""",Orthodox,09-Nov-89,http://ufcstats.com/fighter-details/bf7ad5628363eec9,4.35,47,3.89,60,2.22,37,76,0,0
Puja Tomar,"5' 4""","59""",Southpaw,05-Dec-93,http://ufcstats.com/fighter-details/19f8a2f6eecd92ac,6.33,47,5.6,44,0,0,100,0,0
Rayanne dos Santos,"5' 2""","62""",Orthodox,08-Jun-95,http://ufcstats.com/fighter-details/02bb48869eb7ac8f,4.36,43,5.2,61,0.33,12,88,0,0
Islam Makhachev,"5' 10""","70""",Southpaw,27-Oct-91,http://ufcstats.com/fighter-details/275aca31f61ba28c,2.65,59,1.54,61,3.19,53,90,1.1,0
Dustin Poirier,"5' 9""","72""",Southpaw,19-Jan-89,http://ufcstats.com/fighter-details/029eaff01e6bb8f0,5.3,50,4.33,52,1.24,36,64,1.3,0
Sean Strickland,"6' 1""","76""",Orthodox,27-Feb-91,http://ufcstats.com/fighter-details/0d8011111be000b2,6.01,42,4.48,61,0.78,64,77,0.2,0
