Matchup,Open,Closing Range Start,Closing Range End,Movement,Event,Date
A.J. Dobson,180.0,160.0,185.0,-0.026,UFC 281,Oct 22 2022
A.J. Dobson,120.0,100.0,124.0,-0.019,UFC Fight Night 226,Aug 12 2023
A.J. Fletcher,175.0,145.0,172.0,0.015,UFC,Mar 12 2022
A.J. Fletcher,-190.0,-175.0,-161.0,0.047,UFC 278: Usman vs. Edwards 2,Aug 20 2022
A.J. Fletcher,-160.0,-410.0,-300.0,-0.252,UFC Fight Night 219,Feb 18 2023
Aalon Cruz,-130.0,-207.0,-200.0,-0.183,UFC on ESPN+ 27: Benavidez vs. Figueiredo,Feb 29 2020
Aalon Cruz,-125.0,140.0,175.0,0.3,UFC 259: Blachowicz vs. Adesanya,Mar 06 2021
Aaron Phillips,125.0,130.0,130.0,0.049,UFC 173: Barao vs. Dillashaw,May 24 2014
Aaron Phillips,170.0,145.0,145.0,-0.102,UFC Fight Night 49: Henderson vs. Dos Anjos,Aug 23 2014
Aaron Phillips,330.0,600.0,705.0,-0.129,UFC on ESPN 13: Kattar vs. Ige,Jul 15 2020
Aaron Phillips,260.0,260.0,260.0,,UFC Fight Night: Costa vs. Vettori,Oct 23 2021
Aaron Phillips,140.0,140.0,165.0,0.055,UFC Fight Night: Holloway vs. Allen,Apr 15 2023
Aaron Riley,100.0,-105.0,-105.0,0.054,UFC 91: Couture vs Lesnar,Nov 15 2008
Aaron Riley,-225.0,-265.0,-265.0,0.154,UFC 96: Jackson vs Jardine,Mar 07 2009
Aaron Riley,-120.0,-155.0,-155.0,0.22,UFC 101: Declaration,Aug 08 2009
Aaron Riley,-240.0,-172.0,-172.0,-0.069,UFC 105: Couture vs Vera,Nov 14 2009
Aaron Riley,-175.0,-200.0,-200.0,-0.048,UFC 114: Jackson vs. Evans,May 29 2010
Aaron Riley,205.0,310.0,310.0,-0.064,UFC 135: Jones vs. Rampage,Sep 24 2011
Aaron Riley,150.0,195.0,220.0,-0.081,UFC on FOX 8: Johnson vs. Moraga,Jul 27 2013
Aaron Rosa,-185.0,-135.0,-135.0,0.115,UFC 131: Carwin vs. Dos Santos,Jun 11 2011
Aaron Rosa,-150.0,-120.0,-120.0,-0.048,UFC On FOX 1: Velasquez vs. Dos Santos,Nov 12 2011
Aaron Rosa,255.0,315.0,315.0,0.145,UFC on FX 2: Alves vs. Kampmann,Mar 02 2012
Aaron Simpson,-175.0,-200.0,-200.0,-0.048,UFC Fight Night 18: Condit vs Kampmann,Apr 01 2009
Aaron Simpson,130.0,-115.0,-115.0,-0.23,UFC 102: Couture vs Nogueira,Aug 29 2009
Aaron Simpson,-250.0,-380.0,-380.0,-0.108,UFC Fight Night 20: Maynard vs Diaz,Jan 11 2010
Aaron Simpson,-335.0,-310.0,-310.0,0.018,UFC: The Ultimate Fighter 11 Finale,Jun 19 2010
Aaron Simpson,155.0,115.0,115.0,-0.186,UFC 123: Rampage vs. Machida,Nov 20 2010
Aaron Simpson,-195.0,-210.0,-210.0,-0.025,UFC Fight Night 24: Nogueira vs. Davis,Mar 26 2011
Aaron Simpson,-225.0,-245.0,-245.0,-0.026,UFC 132: Cruz vs. Faber,Jul 02 2011
Aaron Simpson,-325.0,-400.0,-400.0,-0.046,UFC 136: Edgar vs. Maynard 3,Oct 08 2011
Aaron Simpson,-185.0,130.0,130.0,0.33,UFC on FUEL TV 1: Ellenberger vs. Sanchez,Feb 15 2012
Aaron Simpson,-280.0,-350.0,-330.0,-0.049,UFC on FUEL TV 4: Munoz vs. Weidman,Jul 11 2012
Aaron Simpson,170.0,135.0,155.0,-0.102,UFC on FX 5: Browne vs. Bigfoot,Oct 05 2012
Aaron Wilkinson,140.0,-110.0,-110.0,0.168,UFC: The Ultimate Fighter 12 Finale,Dec 04 2010
Abdul Razak Alhassan,-350.0,-335.0,-330.0,0.062,UFC Fight Night 99: Mousasi vs. Hall 2,Nov 19 2016
Abdul Razak Alhassan,-185.0,-275.0,-250.0,0.241,UFC Fight Night 109: Gustafsson vs. Teixeira,May 28 2017
Abdul Razak Alhassan,-315.0,-210.0,-195.0,-0.223,UFC 220: Miocic vs. Ngannou,Jan 20 2018
Abdul Razak Alhassan,-185.0,-110.0,-110.0,-0.283,UFC 228: Woodley vs. Till,Sep 08 2018
Abdul Razak Alhassan,-200.0,-360.0,-350.0,-0.171,UFC on ESPN 13: Kattar vs. Ige,Jul 15 2020
Abdul Razak Alhassan,-175.0,-200.0,-162.0,0.067,UFC Fight Night 182: Felder vs. dos Anjos,Nov 14 2020
Abdul Razak Alhassan,-350.0,-345.0,-290.0,-0.0969999999999999,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17 2021
Abdul Razak Alhassan,125.0,190.0,215.0,-0.172,UFC on ESPN: Barboza vs. Chikadze,Aug 28 2021
Abdul Razak Alhassan,135.0,125.0,125.0,0.036,UFC Fight Night 201,Jan 15 2022
Abdul Razak Alhassan,130.0,125.0,150.0,-0.0279999999999999,UFC,Feb 19 2022
Abdul Razak Alhassan,-115.0,-120.0,-106.0,-0.018,UFC Fight Night 218,Jan 14 2023
Abdul Razak Alhassan,,,,,UFC Fight Night 226,May 20 2023
Abdul Razak Alhassan,140.0,140.0,140.0,,UFC Fight Night: Strickland vs. Magomedov,Jul 01 2023
Abdul Razak Alhassan,200.0,280.0,320.0,0.25,UFC,Oct 08 2023
Abdul Razak Alhassan,100.0,-175.0,-144.0,-0.216,UFC Fight Night,Jul 14 2024
Abdul-Kareem Al-Selwady,142.0,-150.0,-125.0,-0.416,UFC,Mar 02 2024
Abdul-Kareem Al-Selwady,200.0,200.0,200.0,,UFC,Aug 03 2024
Abdul-Kerim Edilov,-505.0,-670.0,-650.0,-0.04,UFC Fight Night 115: Volkov vs. Struve,Sep 02 2017
Abel Trujillo,145.0,120.0,125.0,0.075,UFC on FOX 5: Henderson vs. Diaz,Dec 08 2012
Abel Trujillo,250.0,240.0,275.0,0.022,UFC 160: Velasquez vs. Silva II,May 25 2013
Abel Trujillo,-130.0,-130.0,-125.0,0.0069999999999999,UFC Fight Night 27: Condit vs. Kampmann II,Aug 28 2013
Abel Trujillo,-120.0,125.0,130.0,0.196,UFC on FOX 9: Johnson vs. Benavidez,Dec 14 2013
Abel Trujillo,150.0,-105.0,105.0,-0.25,UFC 169: Barao vs. Faber,Feb 01 2014
Abel Trujillo,175.0,250.0,295.0,-0.067,UFC 181: Hendricks vs. Lawler 2,Dec 06 2014
Abel Trujillo,-110.0,110.0,112.0,0.095,UFC Fight Night 77: Belfort vs. Henderson 3,Nov 07 2015
Abel Trujillo,-135.0,132.0,135.0,-0.184,UFC 195: Lawler vs. Condit,Jan 02 2016
Abel Trujillo,-305.0,-320.0,-320.0,0.0969999999999999,UFC Fight Night 88: Almeida vs. Garbrandt,May 29 2016
Abel Trujillo,-120.0,-101.0,115.0,0.114,UFC Fight Night 104: Bermudez vs. Korean Zombie,Feb 04 2017
Abel Trujillo,-175.0,-145.0,-145.0,0.07,UFC on FOX 26: Lawler vs. Dos Anjos,Dec 16 2017
Abner Lloveras,155.0,125.0,125.0,0.088,UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,Dec 11 2015
Abu Azaitar,-165.0,-210.0,-200.0,-0.079,UFC Fight Night 134: Shogun vs. Smith,Jul 22 2018
Abu Azaitar,-155.0,-103.0,107.0,0.186,UFC 260: Miocic vs. Ngannou 2,Mar 27 2021
Abu Azaitar,130.0,194.0,205.0,0.228,UFC 294,Oct 21 2023
Abu Azaitar,105.0,110.0,110.0,0.024,UFC,Jun 22 2024
Abubakar Nurmagomedov,-245.0,-333.0,-260.0,-0.043,UFC on ESPN+ 21: Zabit vs. Kattar,Nov 09 2019
Abubakar Nurmagomedov,-175.0,-250.0,-210.0,-0.095,UFC 260: Miocic vs. Ngannou 2,Mar 27 2021
Abubakar Nurmagomedov,-180.0,-175.0,-135.0,0.059,UFC 281,Oct 22 2022
Abubakar Nurmagomedov,-110.0,-133.0,120.0,-0.0409999999999999,UFC on ESPN: Hermansson vs. Allen,Jun 03 2023
Abus Magomedov,285.0,230.0,250.0,-0.132,UFC,Nov 05 2023
Abus Magomedov,-185.0,-360.0,-265.0,0.251,UFC,May 18 2024
Abusupiyan Magomedov,-145.0,-145.0,-145.0,,UFC Fight Night: Lewis vs. Daukaus,Dec 18 2021
Abusupiyan Magomedov,-220.0,-305.0,-275.0,0.144,UFC Fight Night: Gane vs. Tuivasa,Sep 03 2022
Abusupiyan Magomedov,,,,,UFC Fight Night 226,May 20 2023
Abusupiyan Magomedov,150.0,123.0,136.0,0.047,UFC Fight Night,Jul 02 2023
Adam Cella,250.0,220.0,220.0,0.0819999999999999,UFC on Fuel TV 9: Mousasi vs. Latifi,Apr 06 2013
Adam Fugitt,385.0,450.0,500.0,-0.042,UFC 277: Pena vs. Nunes 2,Jul 30 2022
Adam Fugitt,,,,,UFC Fight Night 218,Jan 14 2023
Adam Fugitt,195.0,250.0,295.0,0.203,UFC Fight Night: Lewis vs. Spivak,Feb 04 2023
Adam Fugitt,277.0,170.0,184.0,0.11,UFC 289,Jun 10 2023
Adam Fugitt,-105.0,110.0,125.0,-0.1,UFC,Jun 15 2024
Adam Milstead,-245.0,-305.0,-290.0,-0.054,UFC Fight Night 88: Almeida vs. Garbrandt,May 29 2016
Adam Milstead,145.0,290.0,325.0,-0.218,UFC Fight Night 104: Bermudez vs. Korean Zombie,Feb 04 2017
Adam Milstead,195.0,205.0,215.0,0.048,UFC 222: Cyborg vs. Kunitskaya,Mar 03 2018
Adam Milstead,-215.0,-143.0,-105.0,0.204,UFC on FOX 31: Lee vs. Iaquinta 2,Dec 15 2018
Adam Wieczorek,-165.0,-175.0,-171.0,0.104,UFC Fight Night 121: Werdum vs. Tybura,Nov 18 2017
Adam Wieczorek,110.0,265.0,275.0,-0.2789999999999999,UFC on FOX 29: Poirier vs. Gaethje,Apr 14 2018
Adam Wieczorek,-400.0,-213.0,-170.0,0.19,UFC 230: Cormier vs. Lewis,Nov 03 2018
Adam Yandiev,135.0,222.0,240.0,0.29,UFC Fight Night 136: Hunt vs. Oleinik,Sep 15 2018
Adlan Amagov,-155.0,-195.0,-190.0,0.212,UFC on Fuel TV 9: Mousasi vs. Latifi,Apr 06 2013
Adlan Amagov,-140.0,-210.0,-190.0,-0.143,UFC 166: Velasquez vs. Dos Santos III,Oct 19 2013
Adrian Yanez,-305.0,-550.0,-500.0,0.347,UFC on ESPN+ 39: Hall vs. Silva,Oct 31 2020
Adrian Yanez,-200.0,-240.0,-215.0,0.063,UFC on ESPN 21: Brunson vs. Holland,Mar 20 2021
Adrian Yanez,-170.0,-255.0,-225.0,0.155,UFC on ESPN: Sandhagen vs. Dillashaw,Jul 24 2021
Adrian Yanez,-240.0,-333.0,-265.0,0.087,UFC Fight Night: Vieira vs. Tate,Nov 20 2021
Adrian Yanez,-350.0,-2500.0,-275.0,0.079,UFC Fight Night: Kattar vs. Emmett,Jun 18 2022
Adrian Yanez,-185.0,-210.0,-160.0,-0.036,UFC 287,Apr 08 2023
Adrian Yanez,-125.0,-112.0,105.0,-0.044,UFC Fight Night,Oct 15 2023
Adrian Yanez,-250.0,-550.0,-400.0,0.3339999999999999,UFC,May 18 2024
Adriano Martins,-160.0,120.0,130.0,-0.302,UFC Fight Night 32: Belfort vs. Henderson,Nov 09 2013
Adriano Martins,185.0,150.0,160.0,0.123,UFC on FOX 10: Henderson vs. Thomson,Jan 25 2014
Adriano Martins,-400.0,-450.0,-420.0,-0.016,UFC: The Ultimate Fighter 19 Finale,Jul 06 2014
Adriano Martins,160.0,330.0,340.0,0.402,UFC Fight Night 61: Bigfoot vs. Mir,Feb 22 2015
Adriano Martins,-120.0,105.0,110.0,0.119,UFC 192: Cormier vs. Gustafsson,Oct 03 2015
Adriano Martins,-280.0,-210.0,-200.0,0.088,UFC 204: Bisping vs. Henderson 2,Oct 08 2016
Adriano Martins,-260.0,-600.0,-525.0,-0.176,UFC 215: Nunes vs. Shevchenko 2,Sep 09 2017
Aiemann Zahabi,-165.0,-275.0,-275.0,0.3279999999999999,UFC Fight Night 105: Lewis vs. Browne,Feb 19 2017
Aiemann Zahabi,-215.0,-190.0,-175.0,-0.031,UFC on ESPN+ 9: Iaquinta vs. Cowboy,May 04 2019
Aiemann Zahabi,170.0,150.0,188.0,-0.003,UFC Fight Night 185: Blaydes vs. Lewis,Feb 20 2021
Aiemann Zahabi,160.0,150.0,210.0,-0.065,UFC on ESPN: dos Anjos vs. Fiziev,Jul 09 2022
Aiemann Zahabi,164.0,550.0,700.0,-0.28,UFC,Mar 02 2024
Aj Cunningham,575.0,600.0,800.0,-0.026,UFC,Mar 02 2024
Aj Cunningham,680.0,680.0,680.0,,UFC,Sep 28 2024
Aj Dobson,-200.0,-160.0,-102.0,-0.396,UFC 271,Feb 12 2022
Aj Dobson,114.0,155.0,165.0,-0.155,UFC,Mar 24 2024
Aj Fletcher,150.0,155.0,180.0,-0.008,UFC on ESPN 53,Sep 23 2023
Akbarh Arreola,145.0,250.0,275.0,0.325,UFC on FOX 12: Lawler vs. Brown,Jul 26 2014
Akbarh Arreola,160.0,245.0,280.0,0.284,UFC Fight Night 57: Edgar vs. Swanson,Nov 22 2014
Akbarh Arreola,200.0,170.0,170.0,-0.111,UFC Fight Night 62: Maia vs. LaFlare,Mar 21 2015
Akbarh Arreola,335.0,650.0,675.0,0.43,UFC 193: Rousey vs. Holm,Nov 14 2015
Akihiro Gono,-225.0,-210.0,-210.0,0.022,UFC 78: Validation,Nov 17 2007
Akihiro Gono,-340.0,-280.0,-280.0,0.046,UFC 89: Bisping vs Leben,Oct 18 2008
Akihiro Gono,440.0,515.0,515.0,0.122,UFC 94: St-Pierre vs Penn 2,Jan 31 2009
Akira Corassani,120.0,125.0,145.0,0.025,UFC on FUEL TV 5: Struve vs. Miocic,Sep 29 2012
Akira Corassani,250.0,400.0,420.0,-0.071,UFC on Fuel TV 9: Mousasi vs. Latifi,Apr 06 2013
Akira Corassani,190.0,170.0,177.0,-0.0579999999999999,UFC: The Ultimate Fighter 18 Finale,Nov 30 2013
Akira Corassani,335.0,845.0,850.0,0.541,UFC: The Ultimate Fighter Nations Finale,Apr 16 2014
Akira Corassani,325.0,455.0,480.0,-0.035,UFC Fight Night 53: Nelson vs. Story,Oct 04 2014
Akira Corassani,-140.0,-130.0,-120.0,0.048,UFC on FOX 14: Gustafsson vs. Johnson,Jan 24 2015
Al Iaquinta,145.0,340.0,340.0,0.4429999999999999,UFC: The Ultimate Fighter 15 Episode 4,Mar 30 2012
Al Iaquinta,-475.0,-410.0,-370.0,0.037,UFC: The Ultimate Fighter 15 Episode 11,May 18 2012
Al Iaquinta,-180.0,-185.0,-178.0,-0.004,UFC: The Ultimate Fighter 15 Episode 12,May 25 2012
Al Iaquinta,-280.0,-265.0,-260.0,0.017,UFC: The Ultimate Fighter 15 Finale,Jun 01 2012
Al Iaquinta,-245.0,-220.0,-200.0,0.046,UFC 164: Henderson vs. Pettis II,Aug 31 2013
Al Iaquinta,-170.0,-160.0,-160.0,0.023,UFC Fight Night 30: Machida vs. Munoz,Oct 26 2013
Al Iaquinta,-210.0,-165.0,-150.0,-0.092,UFC 169: Barao vs. Faber,Feb 01 2014
Al Iaquinta,-350.0,-450.0,-430.0,-0.048,UFC 173: Barao vs. Dillashaw,May 24 2014
Al Iaquinta,-385.0,-620.0,-600.0,0.376,UFC Fight Night 50: Souza vs. Mousasi,Sep 05 2014
Al Iaquinta,-105.0,114.0,120.0,0.01,UFC Fight Night 55: Rockhold vs. Bisping,Nov 07 2014
Al Iaquinta,-135.0,-192.0,-185.0,0.2739999999999999,UFC 183: Silva vs. Diaz,Jan 31 2015
Al Iaquinta,150.0,-110.0,-110.0,-0.31,UFC Fight Night 63: Mendes vs. Lamas,Apr 04 2015
Al Iaquinta,-350.0,-450.0,-420.0,-0.045,UFC Fight Night 108: Swanson vs. Lobov,Apr 22 2017
Al Iaquinta,550.0,470.0,470.0,-0.14,UFC 223: Nurmagomedov vs. Iaquinta,Apr 07 2018
Al Iaquinta,195.0,275.0,300.0,-0.07,UFC on FOX 31: Lee vs. Iaquinta 2,Dec 15 2018
Al Iaquinta,-135.0,-139.0,-130.0,0.07,UFC on ESPN+ 9: Iaquinta vs. Cowboy,May 04 2019
Al Iaquinta,-130.0,110.0,115.0,0.165,UFC 243: Whittaker vs. Adesanya,Oct 05 2019
Al Iaquinta,110.0,150.0,170.0,0.1889999999999999,UFC 268: Usman vs. Covington 2,Nov 06 2021
Alan Baudot,250.0,450.0,500.0,-0.115,UFC on ESPN+ 37: Moraes vs. Sandhagen,Oct 10 2020
Alan Baudot,275.0,255.0,355.0,-0.01,UFC on ESPN: Makhachev vs. Moises,Jul 17 2021
Alan Baudot,170.0,200.0,242.0,0.1639999999999999,UFC,Feb 19 2022
Alan Baudot,,,,,UFC Fight Night 208,May 14 2022
Alan Baudot,-115.0,-111.0,116.0,-0.088,UFC on ESPN: Tsarukyan vs. Gamrot,Jun 25 2022
Alan Belcher,100.0,110.0,110.0,0.048,UFC 77: Hostile Territory,Oct 20 2007
Alan Belcher,-410.0,-370.0,-370.0,0.021,UFC 83: Serra vs St-Pierre 2,Apr 19 2008
Alan Belcher,190.0,240.0,240.0,0.147,UFC Fight Night 15: Diaz vs Neer,Sep 17 2008
Alan Belcher,260.0,220.0,220.0,-0.125,UFC 93: Franklin vs Henderson,Jan 17 2009
Alan Belcher,250.0,173.0,173.0,-0.282,UFC 100,Jul 11 2009
Alan Belcher,100.0,-125.0,-125.0,-0.111,UFC 107: Penn vs Sanchez,Dec 12 2009
Alan Belcher,110.0,-117.0,-117.0,-0.132,UFC 113: Machida vs. Shogun II,May 08 2010
Alan Belcher,220.0,-290.0,-290.0,-1.379,UFC Fight Night 25: Battle on the Bayou,Sep 17 2011
Alan Belcher,265.0,190.0,200.0,-0.237,UFC on FOX 3: Diaz vs. Miller,May 05 2012
Alan Belcher,115.0,-120.0,-115.0,-0.1639999999999999,UFC 155: Dos Santos vs. Velasquez II,Dec 29 2012
