Matchup,Open,Closing Range Start,Closing Range End,Movement,Event,Date
Micheal Gillmore,240.0,240.0,240.0,,UFC Fight Night 203,
Jonny Parsons,-300.0,-300.0,-300.0,,nan,Feb 26th 2022
Ramiz Brahimaj,-400.0,-425.0,-345.0,,nan,Feb 26th 2022
Micheal Gillmore,145.0,375.0,450.0,0.503,UFC on ESPN: Barboza vs. Chikadze,
Andre Petroski,-175.0,-625.0,-470.0,,nan,Aug 28th 2021
Jake Hadley,150.0,175.0,205.0,0.138,UFC,
Caolan Loughran,-186.0,-250.0,-225.0,,nan,Jul 28th 2024
Charles Johnson,130.0,-122.0,105.0,,nan,May 11th 2024
Jake Hadley,-175.0,-225.0,-200.0,-0.066,UFC Fight Night: Sandhagen vs. Nurmagomedov,
Cody Durden,150.0,165.0,180.0,,nan,Aug 5th 2023
Jake Hadley,-250.0,-550.0,-310.0,-0.145,UFC 286,
Malcolm Gordon,210.0,255.0,400.0,,nan,Mar 18th 2023
Jake Hadley,-250.0,-280.0,-265.0,-0.027,UFC Fight Night 214ting Championship,
Carlos Candelario,210.0,210.0,235.0,,nan,Nov 5th 2022
Jake Hadley,-300.0,-225.0,-200.0,0.093,UFC Fight Night 208,
Allan Nascimento,250.0,170.0,180.0,,nan,May 14th 2022
Jake Hadley,-185.0,-350.0,-290.0,-0.182,DWCS Week 7,
Mitch Raposo,155.0,245.0,265.0,,nan,Oct 12th 2021
Jake Hadley,-205.0,-175.0,-135.0,0.1,Cage Warriors 117: Shanks vs. Hadley,
Luke Shanks,165.0,105.0,135.0,,nan,Dec 10th 2020
Jake Hadley,,,,,Cage Warriors 114: Faiddine vs. Shanks,
Shajidul Haque,,,,,nan,Sep 24th 2020
Jake Hadley,,,,,Bellator 227: Gallagher vs. Salazar,
Blaine O'Driscoll,,,,,nan,Sep 27th 2019
Jose Torres,200.0,175.0,175.0,-0.091,Brave CF,
Nkosi Ndebele,-275.0,-250.0,-250.0,,nan,May 11th 2024
Jose Torres,-275.0,-400.0,-400.0,-0.091,WOW FC,
Itay Tratner,200.0,275.0,275.0,,nan,May 20th 2023
Jose Torres,-350.0,-450.0,-350.0,-0.0289999999999999,Brave CF 65,
Izzeddine Al Derbani,275.0,275.0,300.0,,nan,Oct 28th 2022
Jose Torres,200.0,200.0,200.0,,EFM Challenge Show,
Giorgi Esiava,-275.0,-275.0,-275.0,,nan,Apr 9th 2021
